id,name,parent_id,depth,url
,Modern Helmets,0,0,"{'path': '/fire-helmets/modern-fire-helmets', 'is_customized': False}"
,Safety Lights,0,0,"{'path': '/responder-flashlights/first-responder-safety-lights', 'is_customized': False}"
,Wildland Boots,0,0,"{'path': '/first-responder-footwear/wildland-firefighting-boots', 'is_customized': False}"
,Nozzles,0,0,"{'path': '/wildland-firefighting/wildland-firefighting-nozzles', 'is_customized': True}"
,Vehicle Mounts and Brackets,0,0,"{'path': '/emergency-vehicle-equipment/emergency-vehicle-mounts', 'is_customized': False}"
,All Bags and Packs,0,0,"{'path': '/responder-bags/firefighter-bags', 'is_customized': False}"
,Accessories,0,0,"{'path': '/responder-bags/first-responder-bag-accessories', 'is_customized': True}"
,Belts and Harnesses,0,0,"{'path': '/rope-tech-rescue-equipment/rescue-belts-harnesses', 'is_customized': False}"
,Coveralls,0,0,"{'path': '/firefighter-personal-protective-equipment/first-responder-coveralls', 'is_customized': False}"
,Coveralls,0,0,"{'path': '/first-responder-apparel/first-responder-coveralls', 'is_customized': False}"
,CPR Supplies,0,0,"{'path': '/medical-supplies-and-equipment/cpr-rescue-devices', 'is_customized': False}"
,Chain and Power Saws - Old,0,0,"{'path': '/power-equipment/chain-and-power-saws-old/', 'is_customized': False}"
,Escape Systems,0,0,"{'path': '/rope-tech-rescue-equipment/firefighter-escape-systems', 'is_customized': False}"
,Training Aids - Old,0,0,"{'path': '/training/training-aids-old/', 'is_customized': False}"
,Webbing,0,0,"{'path': '/rope-tech-rescue-equipment/firefighter-webbing', 'is_customized': False}"
,Flares and Light Sticks,0,0,"{'path': '/traffic-control-supplies/firefighter-traffic-flares', 'is_customized': False}"
,Headwear,0,0,"{'path': '/first-responder-apparel/first-responder-headwear', 'is_customized': False}"
,Incident Command and Accountability Supplies,0,0,"{'path': '/firefighting-suppression-equipment/firefighting-incident-command', 'is_customized': False}"
,Incident Command and Accountability Supplies,0,0,"{'path': '/emergency-vehicle-equipment/firefighting-incident-command', 'is_customized': False}"
,Job Shirts,0,0,"{'path': '/first-responder-apparel/firefighter-and-ems-job-shirts', 'is_customized': False}"
,K9 Gear,0,0,"{'path': '/rope-and-tech-rescue/k9-gear/', 'is_customized': False}"
,Outerwear,0,0,"{'path': '/first-responder-apparel/responder-outerwear', 'is_customized': False}"
,Rain Gear,0,0,"{'path': '/first-responder-apparel/responder-rain-gear', 'is_customized': False}"
,Ram Plates,0,0,"{'path': '/firefighter-vehicle-rescue/vehicle-extrication-ram-plates', 'is_customized': False}"
,Rapid Intervention Equipment,0,0,"{'path': '/rope-tech-rescue-equipment/rapid-intervention-equipment', 'is_customized': False}"
,Rapid Intervention Equipment,0,0,"{'path': '/firefighting-suppression-equipment/rapid-intervention-equipment', 'is_customized': False}"
,All Rope Hardware,0,0,"{'path': '/rope-tech-rescue-equipment/firefighter-rope-hardware', 'is_customized': False}"
,Respiratory  Supplies and Equipment,0,0,"{'path': '/medical-supplies-and-equipment/ems-respiratory-supplies', 'is_customized': False}"
,Weather and Wind Meters,0,0,"{'path': '/first-responder-electronic-equipment/firefighter-rescue-wind-weather-meters', 'is_customized': False}"
,Shirts,0,0,"{'path': '/first-responder-apparel/first-responder-shirts', 'is_customized': False}"
,Shorts,0,0,"{'path': '/first-responder-apparel/station-wear-shorts', 'is_customized': False}"
,Socks,0,0,"{'path': '/first-responder-footwear/first-responder-socks', 'is_customized': False}"
,Socks,0,0,"{'path': '/first-responder-apparel/first-responder-socks', 'is_customized': False}"
,Bags,0,0,"{'path': '/firefighter-water-rescue/firefighter-water-rescue-bags', 'is_customized': True}"
,Water Rescue Bags,0,0,"{'path': '/responder-bags/firefighter-water-rescue-bags', 'is_customized': False}"
,Rescue Systems,0,0,"{'path': '/firefighter-water-rescue/firefighter-water-rescue-systems', 'is_customized': False}"
,Boats and Boat Accessories,0,0,"{'path': '/firefighter-water-rescue/rescue-boat-accessories', 'is_customized': True}"
